"newWeek","p_hat","p_lo","p_hi","kind","date","season","start_year","nW_true","week","mmwr_year","Rdate","p_gamm"
1,0.00369523139187049,0.00273508971317675,0.00499073998628198,"observed",2025-06-29,"2025-26",2025,53,27,2026,2026-07-05,0.00586653844816035
2,0.00248632521133764,0.00174221303216805,0.00354712395195932,"observed",2025-07-06,"2025-26",2025,53,28,2026,2026-07-12,0.00537763070411239
3,0.00237167541927833,0.00164145432741216,0.00342562968293235,"observed",2025-07-13,"2025-26",2025,53,29,2026,2026-07-19,0.00497620842399715
4,0.00263620386643234,0.00184726992701493,0.00376080701710195,"observed",2025-07-20,"2025-26",2025,53,30,2026,2026-07-26,0.00469757595379661
5,0.00330549756437022,0.00240931289724646,0.00453351836756663,"observed",2025-07-27,"2025-26",2025,53,31,2026,2026-08-02,0.00455837995628074
6,0.00180962721679334,0.00117180375261311,0.002793652787623,"observed",2025-08-03,"2025-26",2025,53,32,2026,2026-08-09,0.00455150970926007
7,0.00260145681581686,0.00182291376231635,0.00371126933551729,"observed",2025-08-10,"2025-26",2025,53,33,2026,2026-08-16,0.00464508610220334
8,0.00300938219153833,0.00215442451698822,0.00420219082595878,"observed",2025-08-17,"2025-26",2025,53,34,2026,2026-08-23,0.00478238549369954
9,0.0036738978306508,0.00271929287563473,0.00496194852116168,"observed",2025-08-24,"2025-26",2025,53,35,2025,2025-08-24,0.00488854741537416
10,0.00483792936623125,0.00376067780797655,0.00622183399759239,"observed",2025-08-31,"2025-26",2025,53,36,2025,2025-08-31,0.00489174427846763
11,0.00424100614214683,0.00328238043640275,0.00547806164777221,"observed",2025-09-07,"2025-26",2025,53,37,2025,2025-09-07,0.00475538975176812
12,0.00491041804910418,0.00391357495681643,0.00615960109691218,"observed",2025-09-14,"2025-26",2025,53,38,2025,2025-09-14,0.00450153726340401
13,0.00397537830212875,0.00310255476820708,0.00509249382623925,"observed",2025-09-21,"2025-26",2025,53,39,2025,2025-09-21,0.00420610519475282
14,0.00395862597369429,0.00308947553819646,0.00507104741594799,"observed",2025-09-28,"2025-26",2025,53,40,2025,2025-09-28,0.003971224984549
15,0.00634759426177479,0.00522211160588945,0.00771376285086177,"observed",2025-10-05,"2025-26",2025,53,41,2025,2025-10-05,0.00390202679865617
16,0.00488706907938185,0.00389495773822078,0.00613033265145671,"observed",2025-10-12,"2025-26",2025,53,42,2025,2025-10-12,0.0041110687673483
17,0.0102726696258719,0.00881387766941282,0.011969991604065,"observed",2025-10-19,"2025-26",2025,53,43,2025,2025-10-19,0.00475761380592251
18,0.0181703470031546,0.0162046965893031,0.0203694965062185,"observed",2025-10-26,"2025-26",2025,53,44,2025,2025-10-26,0.00612624494221572
19,0.0323121110579224,0.0297368223041245,0.0351023580321288,"observed",2025-11-02,"2025-26",2025,53,45,2025,2025-11-02,0.00876113671739438
20,0.0588235294117647,0.0553717550218925,0.0624762496367708,"observed",2025-11-09,"2025-26",2025,53,46,2025,2025-11-09,0.0136730721880286
21,0.0816557011298654,0.0615985172005897,0.107495613493175,"forecast",2025-11-16,"2025-26",2025,53,47,2025,2025-11-16,0.0225683738876251
22,0.112474499225972,0.0855600135155501,0.146499055876597,"forecast",2025-11-23,"2025-26",2025,53,48,2025,2025-11-23,0.0378279610803341
23,0.140307234307362,0.107546431499949,0.18102339491133,"forecast",2025-11-30,"2025-26",2025,53,49,2025,2025-11-30,0.0616630486553767
24,0.159496138790783,0.122900678097827,0.204448420709907,"forecast",2025-12-07,"2025-26",2025,53,50,2025,2025-12-07,0.0941388670278418
25,0.167447578001587,0.129310286006984,0.214067273710167,"forecast",2025-12-14,"2025-26",2025,53,51,2025,2025-12-14,0.131324186743724
26,0.164943452813159,0.127288757604744,0.211043497368687,"forecast",2025-12-21,"2025-26",2025,53,52,2025,2025-12-21,0.16602167393574
27,0.154811806287642,0.119139567536419,0.198754876997337,"forecast",2025-12-28,"2025-26",2025,53,53,2025,2025-12-28,0.191252386480548
28,0.140301911567261,0.107547568597197,0.181008554562208,"forecast",2026-01-04,"2025-26",2025,53,1,2026,2026-01-04,0.20341670767513
29,0.124011239387473,0.094640044162048,0.160877945373484,"forecast",2026-01-11,"2025-26",2025,53,2,2026,2026-01-11,0.202885851856648
30,0.107551615302261,0.0817119043953145,0.140314036076461,"forecast",2026-01-18,"2025-26",2025,53,3,2026,2026-01-18,0.192622771181711
31,0.0917319509160506,0.0693938268400941,0.120331009456059,"forecast",2026-01-25,"2025-26",2025,53,4,2026,2026-01-25,0.176361709201602
32,0.0769241496183282,0.0579592840497029,0.101426386418781,"forecast",2026-02-01,"2025-26",2025,53,5,2026,2026-02-01,0.157294775680086
33,0.0633649009326485,0.0475685523313147,0.0839444992436365,"forecast",2026-02-08,"2025-26",2025,53,6,2026,2026-02-08,0.137539434281095
34,0.0512883633242725,0.0383759008267427,0.0682372220668199,"forecast",2026-02-15,"2025-26",2025,53,7,2026,2026-02-15,0.118233495012363
35,0.0409066581277152,0.0305188909733181,0.0546308882653751,"forecast",2026-02-22,"2025-26",2025,53,8,2026,2026-02-22,0.0999230391045453
36,0.0323271690302212,0.0240583510857146,0.0433118411145107,"forecast",2026-03-01,"2025-26",2025,53,9,2026,2026-03-01,0.0829401829031528
37,0.0254986092300066,0.0189385511063219,0.0342516498140812,"forecast",2026-03-08,"2025-26",2025,53,10,2026,2026-03-08,0.0676045095733094
38,0.0202241255892188,0.0149975554739155,0.0272217906230784,"forecast",2026-03-15,"2025-26",2025,53,11,2026,2026-03-15,0.0542292662588776
39,0.0162213811277955,0.0120133594132273,0.0218707534176249,"forecast",2026-03-22,"2025-26",2025,53,12,2026,2026-03-22,0.0430210205582639
40,0.0131892528910622,0.00975482376810993,0.0178111095555802,"forecast",2026-03-29,"2025-26",2025,53,13,2026,2026-03-29,0.03399218242703
41,0.0108554054349587,0.00801707071911941,0.0146837393513284,"forecast",2026-04-05,"2025-26",2025,53,14,2026,2026-04-05,0.0269548260279116
42,0.00900070801881488,0.00663791473452529,0.012194222937668,"forecast",2026-04-12,"2025-26",2025,53,15,2026,2026-04-12,0.0215861038953386
43,0.0074672325139955,0.00550094409797414,0.0101292035265192,"forecast",2026-04-19,"2025-26",2025,53,16,2026,2026-04-19,0.0175152894041902
44,0.0061561438734658,0.00453152624836601,0.00835831993195055,"forecast",2026-04-26,"2025-26",2025,53,17,2026,2026-04-26,0.0143924725218213
45,0.00501785522869449,0.00368924859708638,0.00682165603318978,"forecast",2026-05-03,"2025-26",2025,53,18,2026,2026-05-03,0.0119273239270875
46,0.00403573058833529,0.00295808181709628,0.00550380675933602,"forecast",2026-05-10,"2025-26",2025,53,19,2026,2026-05-10,0.00990438590227694
47,0.00320720586271703,0.00233519599167365,0.00440340480661124,"forecast",2026-05-17,"2025-26",2025,53,20,2026,2026-05-17,0.00818370383438074
48,0.002528417304133,0.00182021756010368,0.00351119007211529,"forecast",2026-05-24,"2025-26",2025,53,21,2026,2026-05-24,0.00669089799707553
49,0.00209236928519476,0.00148249068219637,0.00295240266664801,"forecast",2026-05-31,"2025-26",2025,53,22,2026,2026-05-31,0.00539824816953349
50,0.00209236928519476,0.00145351422944896,0.00301117001939101,"forecast",2026-06-07,"2025-26",2025,53,23,2026,2026-06-07,0.0043009021178849
51,0.00209236928519476,0.00142041883980568,0.00308121513302866,"forecast",2026-06-14,"2025-26",2025,53,24,2026,2026-06-14,0.00339576276340621
52,0.00209236928519476,0.00138427442987543,0.00316152761992259,"forecast",2026-06-21,"2025-26",2025,53,25,2026,2026-06-21,0.00266953235634582
